162662,TOUR_54,eduspot,00:F6:63:DD:3D:F1,-79,11,2025-11-17 12:03:12
162662,TOUR_54,eduspot,00:F6:63:E6:3A:A0,-80,6,2025-11-17 12:03:12
162662,TOUR_54,CONGRES,00:F6:63:C7:36:62,-81,6,2025-11-17 12:03:12
162673,TOUR_54,EDUAUTH,00:F6:63:E6:3A:A3,-81,6,2025-11-17 12:03:12
162673,TOUR_54,CONGRES,00:F6:63:C7:2A:F2,-82,1,2025-11-17 12:03:12
162673,TOUR_54,eduspot,00:F6:63:C7:2A:F1,-82,1,2025-11-17 12:03:12
162716,TOUR_54,CONGRES,00:F6:63:CE:C6:52,-86,6,2025-11-17 12:03:12
216854,TOUR_53,eduspot,00:F6:63:AC:D9:E1,-76,1,2025-11-17 12:04:07
216864,TOUR_53,DIRECT-55-HP M181 LaserJet,9E:30:5B:BF:14:55,-77,6,2025-11-17 12:04:07
216865,TOUR_53,eduroam,00:F6:63:E6:2E:F4,-77,6,2025-11-17 12:04:07
216875,TOUR_53,CONGRES,00:F6:63:E6:2E:F2,-77,6,2025-11-17 12:04:07
216875,TOUR_53,eduspot,00:F6:63:E6:2E:F1,-77,6,2025-11-17 12:04:07
216886,TOUR_53,eduroam,00:F6:63:AC:D9:E4,-78,1,2025-11-17 12:04:07
216919,TOUR_53,CONGRES,00:F6:63:E6:2E:B2,-81,1,2025-11-17 12:04:07
216919,TOUR_53,eduroam,00:F6:63:DD:4B:24,-81,1,2025-11-17 12:04:07
216930,TOUR_53,eduroam,00:F6:63:C7:2D:C4,-81,11,2025-11-17 12:04:07
216930,TOUR_53,eduspot,00:F6:63:E6:2E:B1,-82,1,2025-11-17 12:04:07
216940,TOUR_53,CONGRES,00:F6:63:DD:4B:22,-82,1,2025-11-17 12:04:07
216941,TOUR_53,eduspot,00:F6:63:DD:4B:21,-82,1,2025-11-17 12:04:07
216952,TOUR_53,eduspot,00:F6:63:E6:3A:A0,-86,6,2025-11-17 12:04:07
216952,TOUR_53,EDUAUTH,00:F6:63:E6:3A:A3,-88,6,2025-11-17 12:04:07
310277,TOUR_43,CONGRES,00:F6:63:C7:36:62,-62,6,2025-11-17 12:05:40
310299,TOUR_43,eduspot,00:F6:63:DD:4B:21,-77,1,2025-11-17 12:05:40
310309,TOUR_43,eduroam,00:F6:63:DD:4B:24,-77,1,2025-11-17 12:05:40
310310,TOUR_43,CONGRES,00:F6:63:DD:4B:22,-77,1,2025-11-17 12:05:40
310385,TOUR_43,eduspot,00:F6:63:E6:3A:A0,-81,6,2025-11-17 12:05:40
310396,TOUR_43,CONGRES,00:F6:63:E6:3A:A1,-81,6,2025-11-17 12:05:40
310408,TOUR_43,EDUAUTH,00:F6:63:E6:3A:A3,-82,6,2025-11-17 12:05:40
310429,TOUR_43,eduspot,00:F6:63:AC:D9:E1,-89,1,2025-11-17 12:05:40
310440,TOUR_43,eduspot,00:F6:63:E6:2E:F1,-89,6,2025-11-17 12:05:40
310451,TOUR_43,eduroam,00:F6:63:AC:D9:E4,-92,1,2025-11-17 12:05:40
345155,TOUR_44,eduroam,00:F6:63:DD:4B:24,-52,1,2025-11-17 12:06:15
345155,TOUR_44,CONGRES,00:F6:63:DD:4B:22,-52,1,2025-11-17 12:06:15
345166,TOUR_44,eduspot,00:F6:63:DD:4B:21,-52,1,2025-11-17 12:06:15
345166,TOUR_44,CONGRES,00:F6:63:E6:3A:A1,-68,6,2025-11-17 12:06:15
345176,TOUR_44,EDUAUTH,00:F6:63:E6:3A:A3,-68,6,2025-11-17 12:06:15
345177,TOUR_44,eduspot,00:F6:63:E6:3A:A0,-69,6,2025-11-17 12:06:15
345188,TOUR_44,eduspot,00:F6:63:DD:4B:C1,-73,11,2025-11-17 12:06:15
345198,TOUR_44,eduroam,00:F6:63:E6:2E:B4,-74,1,2025-11-17 12:06:15
345198,TOUR_44,CONGRES,00:F6:63:DD:4B:C2,-74,11,2025-11-17 12:06:15
345199,TOUR_44,eduroam,00:F6:63:DD:4B:C4,-75,11,2025-11-17 12:06:15
345209,TOUR_44,eduspot,00:F6:63:E6:2E:B1,-77,1,2025-11-17 12:06:15
345209,TOUR_44,CONGRES,00:F6:63:C7:36:62,-77,6,2025-11-17 12:06:15
345220,TOUR_44,CONGRES,00:F6:63:E6:2E:F2,-80,6,2025-11-17 12:06:15
345220,TOUR_44,CONGRES,00:F6:63:E6:2E:B2,-81,1,2025-11-17 12:06:15
345231,TOUR_44,eduroam,00:F6:63:E6:2E:F4,-81,6,2025-11-17 12:06:15
345231,TOUR_44,eduspot,00:F6:63:E6:2E:F1,-81,6,2025-11-17 12:06:15
345242,TOUR_44,eduroam,00:F6:63:CE:C6:54,-81,6,2025-11-17 12:06:15
345242,TOUR_44,CONGRES,00:F6:63:CE:C6:52,-82,6,2025-11-17 12:06:15
345264,TOUR_44,CONGRES,00:F6:63:C7:2D:C2,-84,11,2025-11-17 12:06:15
345264,TOUR_44,CONGRES,00:F6:63:DD:3D:C2,-85,1,2025-11-17 12:06:15
345275,TOUR_44,eduspot,00:F6:63:C7:2D:C1,-86,11,2025-11-17 12:06:15
345286,TOUR_44,eduspot,00:F6:63:B1:CD:91,-88,11,2025-11-17 12:06:15
345286,TOUR_44,CONGRES,00:F6:63:E6:2F:C2,-89,6,2025-11-17 12:06:15
345296,TOUR_44,DIRECT-55-HP M181 LaserJet,9E:30:5B:BF:14:55,-90,6,2025-11-17 12:06:15
384801,TOUR_45,CONGRES,00:F6:63:C7:2A:F2,-54,1,2025-11-17 12:06:55
384811,TOUR_45,eduspot,00:F6:63:C7:2A:F1,-54,1,2025-11-17 12:06:55
384812,TOUR_45,eduroam,00:F6:63:DD:3D:F4,-66,11,2025-11-17 12:06:55
384822,TOUR_45,CONGRES,00:F6:63:DD:3D:F2,-66,11,2025-11-17 12:06:55
384822,TOUR_45,eduspot,00:F6:63:DD:3D:F1,-66,11,2025-11-17 12:06:55
384823,TOUR_45,eduspot,00:F6:63:B1:CD:91,-72,11,2025-11-17 12:06:55
384844,TOUR_45,eduspot,00:F6:63:E6:3A:A0,-77,6,2025-11-17 12:06:55
384866,TOUR_45,CONGRES,00:F6:63:E6:3A:A1,-79,6,2025-11-17 12:06:55
384877,TOUR_45,eduspot,00:F6:63:E6:2E:B1,-80,1,2025-11-17 12:06:55
384877,TOUR_45,eduspot,00:F6:63:DD:4B:21,-81,1,2025-11-17 12:06:55
384877,TOUR_45,eduroam,00:F6:63:DD:4B:24,-81,1,2025-11-17 12:06:55
384888,TOUR_45,CONGRES,00:F6:63:DD:4B:22,-81,1,2025-11-17 12:06:55
384888,TOUR_45,eduspot,00:F6:63:DD:4B:C1,-81,11,2025-11-17 12:06:55
384898,TOUR_45,CONGRES,00:F6:63:E6:2E:B2,-82,1,2025-11-17 12:06:55
